ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:19:36.337140+00:00,1778379576.337151,Peanut Butter,,tcp_ping,google_meet,28.155708999975104,True,,,2026-05-10 02:19:36.337140+00:00
2026-05-10T02:19:36.838172+00:00,1778379576.838187,Peanut Butter,,tcp_ping,google_static,27.955125000062253,True,,,2026-05-10 02:19:36.838172+00:00
2026-05-10T02:19:37.342648+00:00,1778379577.342658,Peanut Butter,,tcp_ping,cloudflare,31.449833999886323,True,,,2026-05-10 02:19:37.342648+00:00
2026-05-10T02:19:37.843736+00:00,1778379577.843744,Peanut Butter,,tcp_ping,google_dns,31.363667000050555,True,,,2026-05-10 02:19:37.843736+00:00
2026-05-10T02:19:38.655289+00:00,1778379578.655297,Peanut Butter,,tcp_ping,google_meet,45.71120900004644,True,,,2026-05-10 02:19:38.655289+00:00
2026-05-10T02:19:39.175249+00:00,1778379579.1752698,Peanut Butter,,tcp_ping,google_static,63.58404200000223,True,,,2026-05-10 02:19:39.175249+00:00
2026-05-10T02:19:39.706193+00:00,1778379579.7062132,Peanut Butter,,tcp_ping,cloudflare,94.02462499997455,True,,,2026-05-10 02:19:39.706193+00:00
2026-05-10T02:19:39.309266+00:00,1778379579.309294,Peanut Butter,,download,cloudflare_speed,,True,,46.404362738657284,2026-05-10 02:19:39.309266+00:00
2026-05-10T02:19:40.221052+00:00,1778379580.2210612,Peanut Butter,,tcp_ping,google_dns,107.89550000004056,True,,,2026-05-10 02:19:40.221052+00:00
2026-05-10T02:19:39.998917+00:00,1778379579.9989262,Peanut Butter,,upload,cloudflare_speed,,True,,22.076080612654764,2026-05-10 02:19:39.998917+00:00
2026-05-10T02:19:40.939877+00:00,1778379580.9398851,Peanut Butter,,tcp_ping,google_meet,30.51283400009197,True,,,2026-05-10 02:19:40.939877+00:00
2026-05-10T02:19:41.437799+00:00,1778379581.437825,Peanut Butter,,tcp_ping,google_static,27.657583000063823,True,,,2026-05-10 02:19:41.437799+00:00
2026-05-10T02:19:41.951051+00:00,1778379581.951065,Peanut Butter,,tcp_ping,cloudflare,39.921125000091706,True,,,2026-05-10 02:19:41.951051+00:00
2026-05-10T02:19:42.436999+00:00,1778379582.4370189,Peanut Butter,,tcp_ping,google_dns,25.01512499998171,True,,,2026-05-10 02:19:42.436999+00:00
2026-05-10T02:19:43.345586+00:00,1778379583.3456,Peanut Butter,,tcp_ping,google_meet,95.33112499980234,True,,,2026-05-10 02:19:43.345586+00:00
2026-05-10T02:19:43.777910+00:00,1778379583.777925,Peanut Butter,,tcp_ping,google_static,27.313416999959372,True,,,2026-05-10 02:19:43.777910+00:00
2026-05-10T02:19:44.289795+00:00,1778379584.289811,Peanut Butter,,tcp_ping,cloudflare,38.01491699982762,True,,,2026-05-10 02:19:44.289795+00:00
2026-05-10T02:19:44.779455+00:00,1778379584.77948,Peanut Butter,,tcp_ping,google_dns,26.373416000069483,True,,,2026-05-10 02:19:44.779455+00:00
